id,grupo_id,email,first_name,sur_name,roles,password,first_time,image,fortaleza
1000001,217,madyson.retha@mail.com,Madyson,Retha,ROLE_RESPONSABLE,$2y$12$6nID5eWBwq3hM2M3rKfRnuIAv3sVj0odOqLaZXoc/neIQtRefIw3y,0,defaultImg.png,a:0:{}
1000002,217,sebastien.audrea@mail.com,Sebástien,Audrea,ROLE_RESPONSABLE,$2y$12$6nID5eWBwq3hM2M3rKfRnuIAv3sVj0odOqLaZXoc/neIQtRefIw3y,0,defaultImg.png,a:0:{}
1000003,217,raul.cimas@mail.com,Raul,Cimas,ROLE_RESPONSABLE,$2y$12$6nID5eWBwq3hM2M3rKfRnuIAv3sVj0odOqLaZXoc/neIQtRefIw3y,0,defaultImg.png,a:0:{}
1000004,217,responsable_slot1@mail.com,responsable_slot,responsable_slot,ROLE_RESPONSABLE,$2y$12$6nID5eWBwq3hM2M3rKfRnuIAv3sVj0odOqLaZXoc/neIQtRefIw3y,0,defaultImg.png,a:0:{}
1000005,217,responsable_slot2@mail.com,responsable_slot,responsable_slot,ROLE_RESPONSABLE,$2y$12$6nID5eWBwq3hM2M3rKfRnuIAv3sVj0odOqLaZXoc/neIQtRefIw3y,0,defaultImg.png,a:0:{}
10001,218,noemi.brock@mail.com,Noémi,Brock,ROLE_USER,$2y$12$y4J5jx3UodSs18ZUMbbfGO3RwSeb9BpeRlj50ZeLvF5l96BQgsg7W,0,defaultImg.png,a:0:{}
10002,218,knox.joselyn@mail.com,Knox,Joselyn,ROLE_USER,$2y$12$y4J5jx3UodSs18ZUMbbfGO3RwSeb9BpeRlj50ZeLvF5l96BQgsg7W,0,defaultImg.png,a:0:{}
10003,218,esmund.lynette@mail.com,Esmund,Lynette,ROLE_USER,$2y$12$y4J5jx3UodSs18ZUMbbfGO3RwSeb9BpeRlj50ZeLvF5l96BQgsg7W,0,defaultImg.png,a:0:{}
10004,219,bernardita.zola@mail.com,Bernardita,Zola,ROLE_USER,$2y$12$y4J5jx3UodSs18ZUMbbfGO3RwSeb9BpeRlj50ZeLvF5l96BQgsg7W,0,defaultImg.png,a:0:{}
10005,219,cailin.jazmyn@mail.com,Cailin,Jazmyn,ROLE_USER,$2y$12$y4J5jx3UodSs18ZUMbbfGO3RwSeb9BpeRlj50ZeLvF5l96BQgsg7W,0,defaultImg.png,a:0:{}
10006,220,nelle.suellen@mail.com,Nelle,Suellen,ROLE_USER,$2y$12$y4J5jx3UodSs18ZUMbbfGO3RwSeb9BpeRlj50ZeLvF5l96BQgsg7W,0,defaultImg.png,a:0:{}
10007,221,kaiden.guiomar@mail.com,Kaiden,Guiomar,ROLE_USER,$2y$12$y4J5jx3UodSs18ZUMbbfGO3RwSeb9BpeRlj50ZeLvF5l96BQgsg7W,0,defaultImg.png,a:0:{}
10008,221,mavis.margarit@mail.com,Mavis,Margarit,ROLE_USER,$2y$12$y4J5jx3UodSs18ZUMbbfGO3RwSeb9BpeRlj50ZeLvF5l96BQgsg7W,0,defaultImg.png,a:0:{}
10009,221,gema.auguste@mail.com,Gema,Auguste,ROLE_USER,$2y$12$y4J5jx3UodSs18ZUMbbfGO3RwSeb9BpeRlj50ZeLvF5l96BQgsg7W,0,defaultImg.png,a:0:{}
10010,221,varduhi.jeannette@mail.com,Varduhi,Jeannette,ROLE_USER,$2y$12$y4J5jx3UodSs18ZUMbbfGO3RwSeb9BpeRlj50ZeLvF5l96BQgsg7W,0,defaultImg.png,a:0:{}
10011,221,taryn.idelle@mail.com,Taryn,Idelle,ROLE_USER,$2y$12$y4J5jx3UodSs18ZUMbbfGO3RwSeb9BpeRlj50ZeLvF5l96BQgsg7W,0,defaultImg.png,a:0:{}
10012,221,noel.prosper@mail.com,Noel,Prosper,ROLE_USER,$2y$12$y4J5jx3UodSs18ZUMbbfGO3RwSeb9BpeRlj50ZeLvF5l96BQgsg7W,0,defaultImg.png,a:0:{}
10013,222,deniece.raleigh@mail.com,Deniece,Raleigh,ROLE_USER,$2y$12$y4J5jx3UodSs18ZUMbbfGO3RwSeb9BpeRlj50ZeLvF5l96BQgsg7W,0,defaultImg.png,a:0:{}
10014,222,coral.noe@mail.com,Coral,Noé,ROLE_USER,$2y$12$y4J5jx3UodSs18ZUMbbfGO3RwSeb9BpeRlj50ZeLvF5l96BQgsg7W,0,defaultImg.png,a:0:{}
10015,222,cayson.yamile@mail.com,Cayson,Yamilé,ROLE_USER,$2y$12$y4J5jx3UodSs18ZUMbbfGO3RwSeb9BpeRlj50ZeLvF5l96BQgsg7W,0,defaultImg.png,a:0:{}
10016,223,moira.yasmine@mail.com,Moira,Yasmine,ROLE_USER,$2y$12$y4J5jx3UodSs18ZUMbbfGO3RwSeb9BpeRlj50ZeLvF5l96BQgsg7W,0,defaultImg.png,a:0:{}
