id,innovation_day_id,name,description,icon,fragments,responsable,sala,is_completed,calendarmeet,chosen_communication,responsable2
10001,100,team0001,Group0001,NULL,0,slot@mail.com,NULL,0,NULL,.,admin@admin.com
10002,100,team0002,Group0002,NULL,0,slot@mail.com,NULL,0,NULL,.,admin@admin.com
10003,100,team0003,Group0003,NULL,0,slot@mail.com,NULL,0,NULL,.,admin@admin.com
10004,100,team0004,Group0004,NULL,0,slot@mail.com,NULL,0,NULL,.,admin@admin.com
10005,100,team0005,Group0005,NULL,0,slot@mail.com,NULL,0,NULL,.,admin@admin.com
10006,100,team0006,Group0006,NULL,0,slot@mail.com,NULL,0,NULL,.,admin@admin.com
10007,100,team0007,Group0007,NULL,0,slot@mail.com,NULL,0,NULL,.,admin@admin.com
10008,100,team0008,Group0008,NULL,0,slot@mail.com,NULL,0,NULL,.,admin@admin.com
10009,100,team0009,Group0009,NULL,0,slot@mail.com,NULL,0,NULL,.,admin@admin.com
10010,100,team0010,Group0010,NULL,0,slot@mail.com,NULL,0,NULL,.,admin@admin.com
1001,100,team001,Group001,NULL,0,madyson.retha@mail.com,https://meet.google.com/ybe-ymdp-hvn,0,NULL,Google Meet,admin@admin.com
1002,100,team002,Group002,NULL,0,sebastien.audrea@mail.com,https://meet.google.com/jko-zzua-mqk,0,NULL,Google Meet,admin@admin.com
1003,100,team003,Group003,NULL,0,sebastien.audrea@mail.com,https://meet.google.com/sxv-ovmg-yfy,0,NULL,Google Meet,admin@admin.com
1004,100,team004,Group004,NULL,0,sebastien.audrea@mail.com,https://meet.google.com/ujz-ewyj-fqb,0,NULL,Google Meet,admin@admin.com
1005,100,team005,Group005,NULL,0,nicky.sergio@mail.com,https://meet.google.com/yuq-chho-dkz,0,NULL,Google Meet,admin@admin.com
1006,100,team006,Group006,NULL,0,madyson.retha@mail.com,https://meet.google.com/nyy-wphq-kre,0,NULL,Google Meet,admin@admin.com
1007,100,team007,Group007,NULL,0,nicky.sergio@mail.com,https://meet.google.com/vsw-psag-yns,0,NULL,Google Meet,admin@admin.com
