id,grupo_id,first_name,sur_name,roles,password,first_time,image,fortaleza
10000001,10000,responsable_slot,responsable_slot,ROLE_RESPONSABLE,$2y$12$Qz4l0Xb0AUBRWRJjNTokeOlMZO6kWCTmreqLRd3YkqbncxQ/oAoVq,0,defaultImg.png,a:0:{}
10000002,10000,responsable_slot,responsable_slot,ROLE_RESPONSABLE,$2y$12$Qz4l0Xb0AUBRWRJjNTokeOlMZO6kWCTmreqLRd3YkqbncxQ/oAoVq,0,defaultImg.png,a:0:{}
100001,10001,slot,slot,ROLE_USER,$2y$12$LSqCqHf72HVWG9fues4DUu3PvDYBp6bHh0ytsrU8rdeEVNw08x18G,0,defaultImg.png,a:0:{}
100002,10001,slot,slot,ROLE_USER,$2y$12$yz4MmkSDTh0VyIRLZD78weRSrNROeAS4byjj4aOIVGAXy8FnwN.w2,0,defaultImg.png,a:0:{}
100003,10001,slot,slot,ROLE_USER,$2y$12$Qz4l0Xb0AUBRWRJjNTokeOlMZO6kWCTmreqLRd3YkqbncxQ/oAoVq,0,defaultImg.png,a:0:{}
100004,10001,slot,slot,ROLE_USER,$2y$12$LSqCqHf72HVWG9fues4DUu3PvDYBp6bHh0ytsrU8rdeEVNw08x18G,0,defaultImg.png,a:0:{}
100005,10001,slot,slot,ROLE_USER,$2y$12$yz4MmkSDTh0VyIRLZD78weRSrNROeAS4byjj4aOIVGAXy8FnwN.w2,0,defaultImg.png,a:0:{}
100006,10001,slot,slot,ROLE_USER,$2y$12$Qz4l0Xb0AUBRWRJjNTokeOlMZO6kWCTmreqLRd3YkqbncxQ/oAoVq,0,defaultImg.png,a:0:{}
100007,10002,slot,slot,ROLE_USER,$2y$12$LSqCqHf72HVWG9fues4DUu3PvDYBp6bHh0ytsrU8rdeEVNw08x18G,0,defaultImg.png,a:0:{}
100008,10002,slot,slot,ROLE_USER,$2y$12$yz4MmkSDTh0VyIRLZD78weRSrNROeAS4byjj4aOIVGAXy8FnwN.w2,0,defaultImg.png,a:0:{}
100009,10002,slot,slot,ROLE_USER,$2y$12$Qz4l0Xb0AUBRWRJjNTokeOlMZO6kWCTmreqLRd3YkqbncxQ/oAoVq,0,defaultImg.png,a:0:{}
100010,10002,slot,slot,ROLE_USER,$2y$12$LSqCqHf72HVWG9fues4DUu3PvDYBp6bHh0ytsrU8rdeEVNw08x18G,0,defaultImg.png,a:0:{}
100011,10002,slot,slot,ROLE_USER,$2y$12$yz4MmkSDTh0VyIRLZD78weRSrNROeAS4byjj4aOIVGAXy8FnwN.w2,0,defaultImg.png,a:0:{}
100012,10002,slot,slot,ROLE_USER,$2y$12$Qz4l0Xb0AUBRWRJjNTokeOlMZO6kWCTmreqLRd3YkqbncxQ/oAoVq,0,defaultImg.png,a:0:{}
100013,10003,slot,slot,ROLE_USER,$2y$12$LSqCqHf72HVWG9fues4DUu3PvDYBp6bHh0ytsrU8rdeEVNw08x18G,0,defaultImg.png,a:0:{}
100014,10003,slot,slot,ROLE_USER,$2y$12$yz4MmkSDTh0VyIRLZD78weRSrNROeAS4byjj4aOIVGAXy8FnwN.w2,0,defaultImg.png,a:0:{}
100015,10003,slot,slot,ROLE_USER,$2y$12$Qz4l0Xb0AUBRWRJjNTokeOlMZO6kWCTmreqLRd3YkqbncxQ/oAoVq,0,defaultImg.png,a:0:{}
100016,10003,slot,slot,ROLE_USER,$2y$12$LSqCqHf72HVWG9fues4DUu3PvDYBp6bHh0ytsrU8rdeEVNw08x18G,0,defaultImg.png,a:0:{}
100017,10003,slot,slot,ROLE_USER,$2y$12$yz4MmkSDTh0VyIRLZD78weRSrNROeAS4byjj4aOIVGAXy8FnwN.w2,0,defaultImg.png,a:0:{}
100018,10003,slot,slot,ROLE_USER,$2y$12$Qz4l0Xb0AUBRWRJjNTokeOlMZO6kWCTmreqLRd3YkqbncxQ/oAoVq,0,defaultImg.png,a:0:{}
100019,10004,slot,slot,ROLE_USER,$2y$12$LSqCqHf72HVWG9fues4DUu3PvDYBp6bHh0ytsrU8rdeEVNw08x18G,0,defaultImg.png,a:0:{}
100020,10004,slot,slot,ROLE_USER,$2y$12$yz4MmkSDTh0VyIRLZD78weRSrNROeAS4byjj4aOIVGAXy8FnwN.w2,0,defaultImg.png,a:0:{}
100021,10004,slot,slot,ROLE_USER,$2y$12$Qz4l0Xb0AUBRWRJjNTokeOlMZO6kWCTmreqLRd3YkqbncxQ/oAoVq,0,defaultImg.png,a:0:{}
100022,10004,slot,slot,ROLE_USER,$2y$12$LSqCqHf72HVWG9fues4DUu3PvDYBp6bHh0ytsrU8rdeEVNw08x18G,0,defaultImg.png,a:0:{}
100023,10004,slot,slot,ROLE_USER,$2y$12$yz4MmkSDTh0VyIRLZD78weRSrNROeAS4byjj4aOIVGAXy8FnwN.w2,0,defaultImg.png,a:0:{}
100024,10004,slot,slot,ROLE_USER,$2y$12$Qz4l0Xb0AUBRWRJjNTokeOlMZO6kWCTmreqLRd3YkqbncxQ/oAoVq,0,defaultImg.png,a:0:{}
100025,10005,slot,slot,ROLE_USER,$2y$12$LSqCqHf72HVWG9fues4DUu3PvDYBp6bHh0ytsrU8rdeEVNw08x18G,0,defaultImg.png,a:0:{}
100026,10005,slot,slot,ROLE_USER,$2y$12$yz4MmkSDTh0VyIRLZD78weRSrNROeAS4byjj4aOIVGAXy8FnwN.w2,0,defaultImg.png,a:0:{}
100027,10005,slot,slot,ROLE_USER,$2y$12$Qz4l0Xb0AUBRWRJjNTokeOlMZO6kWCTmreqLRd3YkqbncxQ/oAoVq,0,defaultImg.png,a:0:{}
100028,10005,slot,slot,ROLE_USER,$2y$12$LSqCqHf72HVWG9fues4DUu3PvDYBp6bHh0ytsrU8rdeEVNw08x18G,0,defaultImg.png,a:0:{}
100029,10005,slot,slot,ROLE_USER,$2y$12$yz4MmkSDTh0VyIRLZD78weRSrNROeAS4byjj4aOIVGAXy8FnwN.w2,0,defaultImg.png,a:0:{}
100030,10005,slot,slot,ROLE_USER,$2y$12$Qz4l0Xb0AUBRWRJjNTokeOlMZO6kWCTmreqLRd3YkqbncxQ/oAoVq,0,defaultImg.png,a:0:{}
100031,10006,slot,slot,ROLE_USER,$2y$12$LSqCqHf72HVWG9fues4DUu3PvDYBp6bHh0ytsrU8rdeEVNw08x18G,0,defaultImg.png,a:0:{}
100032,10006,slot,slot,ROLE_USER,$2y$12$yz4MmkSDTh0VyIRLZD78weRSrNROeAS4byjj4aOIVGAXy8FnwN.w2,0,defaultImg.png,a:0:{}
100033,10006,slot,slot,ROLE_USER,$2y$12$Qz4l0Xb0AUBRWRJjNTokeOlMZO6kWCTmreqLRd3YkqbncxQ/oAoVq,0,defaultImg.png,a:0:{}
100034,10006,slot,slot,ROLE_USER,$2y$12$LSqCqHf72HVWG9fues4DUu3PvDYBp6bHh0ytsrU8rdeEVNw08x18G,0,defaultImg.png,a:0:{}
100035,10006,slot,slot,ROLE_USER,$2y$12$yz4MmkSDTh0VyIRLZD78weRSrNROeAS4byjj4aOIVGAXy8FnwN.w2,0,defaultImg.png,a:0:{}
100036,10006,slot,slot,ROLE_USER,$2y$12$Qz4l0Xb0AUBRWRJjNTokeOlMZO6kWCTmreqLRd3YkqbncxQ/oAoVq,0,defaultImg.png,a:0:{}
100037,10007,slot,slot,ROLE_USER,$2y$12$LSqCqHf72HVWG9fues4DUu3PvDYBp6bHh0ytsrU8rdeEVNw08x18G,0,defaultImg.png,a:0:{}
100038,10007,slot,slot,ROLE_USER,$2y$12$yz4MmkSDTh0VyIRLZD78weRSrNROeAS4byjj4aOIVGAXy8FnwN.w2,0,defaultImg.png,a:0:{}
100039,10007,slot,slot,ROLE_USER,$2y$12$Qz4l0Xb0AUBRWRJjNTokeOlMZO6kWCTmreqLRd3YkqbncxQ/oAoVq,0,defaultImg.png,a:0:{}
100040,10007,slot,slot,ROLE_USER,$2y$12$LSqCqHf72HVWG9fues4DUu3PvDYBp6bHh0ytsrU8rdeEVNw08x18G,0,defaultImg.png,a:0:{}
100041,10007,slot,slot,ROLE_USER,$2y$12$yz4MmkSDTh0VyIRLZD78weRSrNROeAS4byjj4aOIVGAXy8FnwN.w2,0,defaultImg.png,a:0:{}
100042,10007,slot,slot,ROLE_USER,$2y$12$Qz4l0Xb0AUBRWRJjNTokeOlMZO6kWCTmreqLRd3YkqbncxQ/oAoVq,0,defaultImg.png,a:0:{}
100043,10008,slot,slot,ROLE_USER,$2y$12$LSqCqHf72HVWG9fues4DUu3PvDYBp6bHh0ytsrU8rdeEVNw08x18G,0,defaultImg.png,a:0:{}
